experiment,phase,mean_progress,best_progress,finish_rate,crash_rate,timeout_rate,best_time
exp00_base_fixed100,1-50,5.94642857142857,14.285714285714285,0.0,0.9941666666666666,0.005833333333333334,
exp00_base_fixed100,51-100,11.644047619047617,57.14285714285714,0.0,0.9983333333333333,0.0016666666666666668,
exp00_base_fixed100,101-150,35.194047619047616,100.0,0.06,0.9008333333333334,0.03916666666666667,23.460000000000868
exp00_base_fixed100,151-200,54.45833333333333,100.0,0.3325,0.6483333333333333,0.019166666666666665,20.66000000000043
exp01_mutation_decay_fixed100,1-50,5.442857142857143,14.285714285714285,0.0,0.995,0.005,
exp01_mutation_decay_fixed100,51-100,11.889285714285712,42.85714285714285,0.0,1.0,0.0,
exp01_mutation_decay_fixed100,101-150,37.917857142857144,82.85714285714286,0.0,0.9954166666666666,0.004583333333333333,
exp01_mutation_decay_fixed100,151-200,61.2297619047619,100.0,0.3175,0.6745833333333333,0.007916666666666667,21.42000000000055
exp01b_mutation_decay_first_finish_fixed100,1-50,5.814285714285713,14.285714285714285,0.0,0.9904166666666666,0.009583333333333333,
exp01b_mutation_decay_first_finish_fixed100,51-100,9.535714285714285,40.0,0.0,1.0,0.0,
exp01b_mutation_decay_first_finish_fixed100,101-150,15.771428571428574,77.14285714285715,0.0,0.995,0.005,
exp01b_mutation_decay_first_finish_fixed100,151-200,55.357142857142854,100.0,0.2725,0.7033333333333334,0.024166666666666666,18.840000000000146
exp02_both_mirrors_fixed100,1-50,5.926190476190477,8.571428571428571,0.0,0.9966666666666667,0.0033333333333333335,
exp02_both_mirrors_fixed100,51-100,9.423214285714286,57.14285714285714,0.0,1.0,0.0,
exp02_both_mirrors_fixed100,101-150,42.27916666666666,100.0,0.011666666666666667,0.97625,0.012083333333333333,25.00000000000111
exp02_both_mirrors_fixed100,151-200,64.97619047619047,100.0,0.23166666666666666,0.7179166666666666,0.050416666666666665,20.305000000000376
exp03_mirror_prob_050_fixed100,1-50,5.360714285714286,11.428571428571429,0.0,0.9941666666666666,0.005833333333333334,
exp03_mirror_prob_050_fixed100,51-100,6.238095238095237,14.285714285714285,0.0,1.0,0.0,
exp03_mirror_prob_050_fixed100,101-150,6.625,14.285714285714285,0.0,1.0,0.0,
exp03_mirror_prob_050_fixed100,151-200,8.427380952380952,80.0,0.0,0.9983333333333333,0.0016666666666666668,
exp04_max_touches_3_fixed100,1-50,7.328571428571429,14.285714285714285,0.0,0.99625,0.00375,
exp04_max_touches_3_fixed100,51-100,7.670238095238095,20.0,0.0,1.0,0.0,
exp04_max_touches_3_fixed100,101-150,31.01666666666667,100.0,0.010833333333333334,0.9995833333333334,0.0004166666666666667,26.260000000001305
exp04_max_touches_3_fixed100,151-200,68.71309523809524,100.0,0.25875,1.0,0.0,22.690000000000747
exp05a_variable_tick_no_cache_control,1-50,5.992857142857142,14.285714285714285,0.0,0.9954166666666666,0.004583333333333333,
exp05a_variable_tick_no_cache_control,51-100,9.835714285714285,20.0,0.0,1.0,0.0,
exp05a_variable_tick_no_cache_control,101-150,16.314285714285713,62.85714285714285,0.0,1.0,0.0,
exp05a_variable_tick_no_cache_control,151-200,30.036904761904758,91.42857142857144,0.0,0.9883333333333333,0.011666666666666667,
exp05b_variable_tick_elite_cache,1-50,6.105952380952381,14.285714285714285,0.0,0.9954166666666666,0.004583333333333333,
exp05b_variable_tick_elite_cache,51-100,12.64047619047619,54.285714285714285,0.0,1.0,0.0,
exp05b_variable_tick_elite_cache,101-150,25.46309523809524,77.14285714285715,0.0,0.9854166666666667,0.014583333333333334,
exp05b_variable_tick_elite_cache,151-200,48.69285714285715,100.0,0.23833333333333334,0.7304166666666667,0.03125,18.710000000000065
exp06_supervised_seeded_fixed100,1-50,8.928103745551335,15.39656502859933,0.0,1.0,0.0,
exp06_supervised_seeded_fixed100,51-100,12.757990531103308,32.44059812816194,0.0,0.9995833333333334,0.0004166666666666667,
exp06_supervised_seeded_fixed100,101-150,16.083916990979127,66.06180444876067,0.0,0.9916666666666667,0.008333333333333333,
exp06_supervised_seeded_fixed100,151-200,25.297344720111276,100.0,0.007916666666666667,0.9804166666666667,0.011666666666666667,26.780000000001387
exp06b_supervised_seeded_dense_fixed100,1-50,9.598131184350878,15.663702828543528,0.0,1.0,0.0,
exp06b_supervised_seeded_dense_fixed100,51-100,15.479087398724426,79.03416224888393,0.0,0.99875,0.00125,
exp06b_supervised_seeded_dense_fixed100,101-150,42.269723636462174,100.0,0.13125,0.78,0.08875,20.60000000000042
exp06b_supervised_seeded_dense_fixed100,151-200,49.35146538492154,100.0,0.31833333333333336,0.6745833333333333,0.007083333333333333,17.2799999999999
