activation,count,best_val_loss,median_val_loss,best_candidate_id,best_architecture,best_parameter_count
relu,4,0.07111377779275678,0.07816920527592397,c010_arch_32_act_relu,32,1219
"relu,relu",6,0.05777606567538428,0.06591299218622267,c037_arch_128x64_act_relu_relu,128x64,12931
"relu,relu,relu",1,0.0667879880847007,0.0667879880847007,c033_arch_32x16x8_act_relu_relu_relu,32x16x8,1811
"relu,relu,tanh",1,0.06443736249871578,0.06443736249871578,c035_arch_32x16x8_act_relu_relu_tanh,32x16x8,1811
"relu,tanh",6,0.05627483719893638,0.0669091884880506,c038_arch_128x64_act_relu_tanh,128x64,12931
sigmoid,4,0.09045176189217828,0.09998273359003329,c012_arch_32_act_sigmoid,32,1219
"sigmoid,sigmoid",6,0.07861152539559108,0.09759381023295832,c040_arch_128x64_act_sigmoid_sigmoid,128x64,12931
"sigmoid,sigmoid,sigmoid",1,0.09842240297815202,0.09842240297815202,c036_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,1811
tanh,4,0.0751940884446764,0.07752358149973854,c011_arch_32_act_tanh,32,1219
"tanh,tanh",6,0.062402528311132965,0.0705138835887879,c039_arch_128x64_act_tanh_tanh,128x64,12931
"tanh,tanh,tanh",1,0.0690810352874013,0.0690810352874013,c034_arch_32x16x8_act_tanh_tanh_tanh,32x16x8,1811
